,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.3050000071525574, 0.19999998807907104, 0.3100000023841858, 0.1850000023841858]",0
1,whisker,wS1,tensor(-0.0297),"[0.28999999165534973, 0.2149999886751175, 0.3100000023841858, 0.1850000023841858]",0
2,delay,wS1,tensor(0.),"[0.3050000071525574, 0.19999998807907104, 0.3349999785423279, 0.1599999964237213]",0
3,response,wS1,tensor(0.0792),"[0.3449999988079071, 0.1599999964237213, 0.39499998092651367, 0.09999999403953552]",0
4,off,wS2,0,"[0.3050000071525574, 0.19999998807907104, 0.3100000023841858, 0.1850000023841858]",0
5,whisker,wS2,tensor(0.0198),"[0.3149999976158142, 0.1899999976158142, 0.3100000023841858, 0.1850000023841858]",0
6,delay,wS2,tensor(0.),"[0.3050000071525574, 0.19999998807907104, 0.32499998807907104, 0.17000000178813934]",0
7,response,wS2,tensor(0.0198),"[0.3149999976158142, 0.1899999976158142, 0.3349999785423279, 0.1599999964237213]",0
8,off,wM1,0,"[0.3050000071525574, 0.19999998807907104, 0.3100000023841858, 0.1850000023841858]",0
9,whisker,wM1,tensor(0.),"[0.3050000071525574, 0.19999998807907104, 0.3050000071525574, 0.1899999976158142]",0
10,delay,wM1,tensor(0.),"[0.3050000071525574, 0.19999998807907104, 0.29999998211860657, 0.19499999284744263]",0
11,response,wM1,tensor(0.),"[0.3050000071525574, 0.19999998807907104, 0.32999998331069946, 0.16499999165534973]",0
12,off,wM2,0,"[0.3050000071525574, 0.19999998807907104, 0.3100000023841858, 0.1850000023841858]",0
13,whisker,wM2,tensor(-0.0297),"[0.28999999165534973, 0.2149999886751175, 0.3100000023841858, 0.1850000023841858]",0
14,delay,wM2,tensor(0.1188),"[0.3649999797344208, 0.14000000059604645, 0.4099999964237213, 0.08500000089406967]",0
15,response,wM2,tensor(0.2376),"[0.42499998211860657, 0.07999999821186066, 0.4449999928474426, 0.04999999701976776]",0
16,off,ALM,0,"[0.3050000071525574, 0.19999998807907104, 0.3100000023841858, 0.1850000023841858]",0
17,whisker,ALM,tensor(0.),"[0.3050000071525574, 0.19999998807907104, 0.3100000023841858, 0.1850000023841858]",0
18,delay,ALM,tensor(0.1287),"[0.3700000047683716, 0.13499999046325684, 0.35499998927116394, 0.14000000059604645]",0
19,response,ALM,tensor(0.3960),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",0
20,off,tjM1,0,"[0.3050000071525574, 0.19999998807907104, 0.3100000023841858, 0.1850000023841858]",0
21,whisker,tjM1,tensor(0.1287),"[0.3700000047683716, 0.13499999046325684, 0.35999998450279236, 0.13499999046325684]",0
22,delay,tjM1,tensor(0.3861),"[0.5, 0.004999999888241291, 0.4899999797344208, 0.004999999888241291]",0
23,response,tjM1,tensor(0.3762),"[0.4949999749660492, 0.009999999776482582, 0.4699999988079071, 0.02499999850988388]",0
24,off,wS1,0,"[0.3349999785423279, 0.17000000178813934, 0.3149999976158142, 0.17999999225139618]",1
25,whisker,wS1,tensor(-0.0396),"[0.3149999976158142, 0.1899999976158142, 0.3149999976158142, 0.17999999225139618]",1
26,delay,wS1,tensor(-0.0396),"[0.3149999976158142, 0.1899999976158142, 0.32999998331069946, 0.16499999165534973]",1
27,response,wS1,tensor(0.1089),"[0.38999998569488525, 0.11499999463558197, 0.3999999761581421, 0.0949999988079071]",1
28,off,wS2,0,"[0.3349999785423279, 0.17000000178813934, 0.3149999976158142, 0.17999999225139618]",1
29,whisker,wS2,tensor(0.0099),"[0.3400000035762787, 0.16499999165534973, 0.3149999976158142, 0.17999999225139618]",1
30,delay,wS2,tensor(0.0198),"[0.3449999988079071, 0.1599999964237213, 0.3149999976158142, 0.17999999225139618]",1
31,response,wS2,tensor(0.0297),"[0.3499999940395355, 0.1550000011920929, 0.3149999976158142, 0.17999999225139618]",1
32,off,wM1,0,"[0.3349999785423279, 0.17000000178813934, 0.3149999976158142, 0.17999999225139618]",1
33,whisker,wM1,tensor(-0.0099),"[0.32999998331069946, 0.17499999701976776, 0.3149999976158142, 0.17999999225139618]",1
34,delay,wM1,tensor(0.0099),"[0.3400000035762787, 0.16499999165534973, 0.3149999976158142, 0.17999999225139618]",1
35,response,wM1,tensor(0.0198),"[0.3449999988079071, 0.1599999964237213, 0.3149999976158142, 0.17999999225139618]",1
36,off,wM2,0,"[0.3349999785423279, 0.17000000178813934, 0.3149999976158142, 0.17999999225139618]",1
