,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.19999998807907104, 0.3050000071525574, 0.44999998807907104, 0.044999998062849045]",0
1,whisker,wS1,tensor(0.0594),"[0.22999998927116394, 0.2750000059604645, 0.4350000023841858, 0.05999999865889549]",0
2,delay,wS1,tensor(-0.0594),"[0.17000000178813934, 0.3349999785423279, 0.4399999976158142, 0.054999999701976776]",0
3,response,wS1,tensor(-0.0198),"[0.1899999976158142, 0.3149999976158142, 0.4099999964237213, 0.08500000089406967]",0
4,off,wS2,0,"[0.19999998807907104, 0.3050000071525574, 0.44999998807907104, 0.044999998062849045]",0
5,whisker,wS2,tensor(0.1188),"[0.25999999046325684, 0.2449999898672104, 0.4399999976158142, 0.054999999701976776]",0
6,delay,wS2,tensor(0.3960),"[0.3999999761581421, 0.10499999672174454, 0.429999977350235, 0.06499999761581421]",0
7,response,wS2,tensor(-0.0099),"[0.19499999284744263, 0.3100000023841858, 0.45499998331069946, 0.03999999910593033]",0
8,off,wM1,0,"[0.19999998807907104, 0.3050000071525574, 0.44999998807907104, 0.044999998062849045]",0
9,whisker,wM1,tensor(0.0396),"[0.2199999988079071, 0.2849999964237213, 0.44999998807907104, 0.044999998062849045]",0
10,delay,wM1,tensor(0.0495),"[0.22499999403953552, 0.2800000011920929, 0.4350000023841858, 0.05999999865889549]",0
11,response,wM1,tensor(0.0990),"[0.25, 0.2549999952316284, 0.4899999797344208, 0.004999999888241291]",0
12,off,wM2,0,"[0.19999998807907104, 0.3050000071525574, 0.44999998807907104, 0.044999998062849045]",0
13,whisker,wM2,tensor(0.0495),"[0.22499999403953552, 0.2800000011920929, 0.4399999976158142, 0.054999999701976776]",0
14,delay,wM2,tensor(0.3366),"[0.3700000047683716, 0.13499999046325684, 0.4399999976158142, 0.054999999701976776]",0
15,response,wM2,tensor(0.),"[0.19999998807907104, 0.3050000071525574, 0.4449999928474426, 0.04999999701976776]",0
16,off,ALM,0,"[0.19999998807907104, 0.3050000071525574, 0.44999998807907104, 0.044999998062849045]",0
17,whisker,ALM,tensor(0.),"[0.19999998807907104, 0.3050000071525574, 0.45499998331069946, 0.03999999910593033]",0
18,delay,ALM,tensor(0.1881),"[0.29499998688697815, 0.20999999344348907, 0.4099999964237213, 0.08500000089406967]",0
19,response,ALM,tensor(-0.0396),"[0.17999999225139618, 0.32499998807907104, 0.3700000047683716, 0.125]",0
20,off,tjM1,0,"[0.19999998807907104, 0.3050000071525574, 0.44999998807907104, 0.044999998062849045]",0
21,whisker,tjM1,tensor(-0.0099),"[0.19499999284744263, 0.3100000023841858, 0.44999998807907104, 0.044999998062849045]",0
22,delay,tjM1,tensor(0.5545),"[0.47999998927116394, 0.02499999850988388, 0.39499998092651367, 0.09999999403953552]",0
23,response,tjM1,tensor(-0.0396),"[0.17999999225139618, 0.32499998807907104, 0.3999999761581421, 0.0949999988079071]",0
