,mouse,area,session,win,Hit,FA,DP
0,VE077,wS1,1,Response,0.6,0.0,inf
1,VE077,wS1,1,Post,0.4375,0.125,0.9930386957658376
2,VE077,wS1,1,Control,0.6451612903225806,0.07142857142857142,1.837523153150714
3,VE077,wS1,1,Stim,0.25,0.07692307692307693,0.7515871220767656
4,VE077,wS1,1,Pre,0.6,0.17647058823529413,1.1822465947830705
5,VE077,wS1,2,Response,0.4,0.4,0.0
6,VE077,wS1,2,Post,0.8,0.5,0.8416212335729144
7,VE077,wS1,2,Control,0.8305084745762712,0.3625,1.3079608838552186
8,VE077,wS1,2,Stim,0.7058823529411765,0.3333333333333333,0.9721223844245456
9,VE077,wS1,2,Pre,0.8181818181818182,0.5833333333333334,0.6980294742894607
10,VE077,wS1,3,Response,0.4,0.4,0.0
11,VE077,wS1,3,Post,0.8,0.5,0.8416212335729144
12,VE077,wS1,3,Control,0.8305084745762712,0.3625,1.3079608838552186
13,VE077,wS1,3,Stim,0.7058823529411765,0.3333333333333333,0.9721223844245456
14,VE077,wS1,3,Pre,0.8181818181818182,0.5833333333333334,0.6980294742894607
15,VE077,wS1,4,Response,0.6,0.0,inf
16,VE077,wS1,4,Post,0.6363636363636364,0.09090909090909091,1.6839334316359815
17,VE077,wS1,4,Control,0.6626506024096386,0.06097560975609756,1.966343250861008
18,VE077,wS1,4,Stim,0.4444444444444444,0.08333333333333333,1.2432838282187764
19,VE077,wS1,4,Pre,0.5,0.0,inf
20,VE077,wS2,1,Response,0.6428571428571429,0.125,1.5164557371765781
21,VE077,wS2,1,Post,0.5714285714285714,0.125,1.3303617501687133
22,VE077,wS2,1,Control,0.6511627906976745,0.09375,1.706472561286648
23,VE077,wS2,1,Stim,0.375,0.1875,0.568507195054501
24,VE077,wS2,1,Pre,0.5,0.0625,1.5341205443525465
25,VE077,wS2,2,Response,0.7272727272727273,0.16666666666666666,1.5720069126849385
26,VE077,wS2,2,Post,0.6666666666666666,0.7,-0.09367321341258322
27,VE077,wS2,2,Control,0.6296296296296297,0.05747126436781609,1.9072340154225018
28,VE077,wS2,2,Stim,0.36363636363636365,0.18181818181818182,0.5597021730203404
29,VE077,wS2,2,Pre,0.8,0.18181818181818182,1.7500791021102997
30,VE077,wS2,3,Response,0.7142857142857143,0.25,1.2404385721289448
31,VE077,wS2,3,Post,0.5714285714285714,0.2857142857142857,0.7459611917255681
32,VE077,wS2,3,Control,0.6595744680851063,0.07272727272727272,1.8670780788777885
33,VE077,wS2,3,Stim,0.2857142857142857,0.16666666666666666,0.40147274416883827
34,VE077,wS2,3,Pre,0.2857142857142857,0.2857142857142857,0.0
35,VE077,wM1,1,Response,0.8,0.0,inf
36,VE077,wM1,1,Post,0.5384615384615384,0.21428571428571427,0.8881972230330137
37,VE077,wM1,1,Control,0.74,0.09009009009009009,1.9835458713270029
38,VE077,wM1,1,Stim,0.5384615384615384,0.23076923076923078,0.8328745326657686
39,VE077,wM1,1,Pre,0.375,0.0,inf
40,VE077,wM1,2,Response,0.8181818181818182,0.0,inf
41,VE077,wM1,2,Post,0.6666666666666666,0.09090909090909091,1.7659050354143941
42,VE077,wM1,2,Control,0.7934782608695652,0.11702127659574468,2.008559286472043
43,VE077,wM1,2,Stim,0.6363636363636364,0.0,inf
44,VE077,wM1,2,Pre,0.45454545454545453,0.16666666666666666,0.853236271780273
45,VE077,wM1,3,Response,0.7777777777777778,0.1,2.046261239330988
46,VE077,wM1,3,Post,0.3333333333333333,0.5555555555555556,-0.5704375981773198
47,VE077,wM1,3,Control,0.68,0.03896103896103896,2.230570814177391
48,VE077,wM1,3,Stim,0.36363636363636365,0.0,inf
49,VE077,wM1,3,Pre,0.625,0.0,inf
50,VE077,Aud,1,Response,0.7777777777777778,0.0,inf
51,VE077,Aud,1,Post,0.75,0.1111111111111111,1.8951300990434317
52,VE077,Aud,1,Control,0.6511627906976745,0.09433962264150944,1.7029579554509868
53,VE077,Aud,1,Stim,0.6666666666666666,0.25,1.1052170494915392
54,VE077,Aud,1,Pre,0.6666666666666666,0.0,inf
55,VE077,Aud,2,Response,1.0,0.0,inf
56,VE077,Aud,2,Post,1.0,0.2,inf
57,VE077,Aud,2,Control,0.8095238095238095,0.3333333333333333,1.3068701485422984
58,VE077,Aud,2,Stim,0.75,0.6,0.42114264706028204
59,VE077,Aud,2,Pre,1.0,0.2,inf
60,VE077,Aud,3,Response,0.2222222222222222,0.2727272727272727,-0.16012432720315006
61,VE077,Aud,3,Post,0.9090909090909091,0.6363636363636364,0.9864220406018918
62,VE077,Aud,3,Control,0.684931506849315,0.43333333333333335,0.6494280538238683
63,VE077,Aud,3,Stim,0.8,0.5454545454545454,0.7274359392514862
64,VE077,Aud,3,Pre,0.625,0.36363636363636365,0.66739505948142
65,VE077,Vis,1,Response,0.5714285714285714,0.14285714285714285,1.2475828936708468
66,VE077,Vis,1,Post,0.8,0.6666666666666666,0.41089393427745696
67,VE077,Vis,1,Control,0.7954545454545454,0.2,1.6671157245021502
68,VE077,Vis,1,Stim,0.5714285714285714,0.16666666666666666,1.1474339358944063
69,VE077,Vis,1,Pre,0.8,0.2,1.6832424671458286
70,VE077,Vis,2,Response,0.625,0.0,inf
71,VE077,Vis,2,Post,0.7777777777777778,0.45454545454545453,0.8788949681078156
72,VE077,Vis,2,Control,0.7435897435897436,0.07407407407407407,2.1005557936501793
73,VE077,Vis,2,Stim,0.8,0.2,1.6832424671458286
74,VE077,Vis,2,Pre,0.4444444444444444,0.2,0.7019109346910521
75,VE077,Vis,3,Response,0.7142857142857143,0.2,1.4075700555057775
76,VE077,Vis,3,Post,0.8,0.3333333333333333,1.2723485328683721
77,VE077,Vis,3,Control,0.7746478873239436,0.036585365853658534,2.5460057824988063
78,VE077,Vis,3,Stim,0.8571428571428571,0.0,inf
79,VE077,Vis,3,Pre,0.5,0.0,inf
80,VE077,PPC,1,Response,0.7,0.375,0.8430398766724159
81,VE077,PPC,1,Post,0.2857142857142857,0.6666666666666666,-0.9966761212283206
82,VE077,PPC,1,Control,0.6037735849056604,0.29850746268656714,0.7918248801496135
83,VE077,PPC,1,Stim,0.5714285714285714,0.375,0.49865173375708016
84,VE077,PPC,1,Pre,0.7142857142857143,0.5555555555555556,0.42623852305100096
85,VE077,PPC,2,Response,1.0,0.0,inf
86,VE077,PPC,2,Post,0.8571428571428571,0.7142857142857143,0.5016217019452783
87,VE077,PPC,2,Control,0.8070175438596491,0.13793103448275862,1.9566201831496506
88,VE077,PPC,2,Stim,0.75,0.2857142857142857,1.2404385721289448
89,VE077,PPC,2,Pre,0.5,0.14285714285714285,1.0675705238781419
90,VE077,PPC,3,Response,0.8333333333333334,0.25,1.6419113162977832
91,VE077,PPC,3,Post,0.875,0.1111111111111111,2.370989729223358
92,VE077,PPC,3,Control,0.8095238095238095,0.03076923076923077,2.745749496365743
93,VE077,PPC,3,Stim,0.5714285714285714,0.375,0.49865173375708016
94,VE077,PPC,3,Pre,0.3333333333333333,0.0,inf
95,VE077,dCA1,1,Response,0.7777777777777778,0.14285714285714285,1.832280197664529
96,VE077,dCA1,1,Post,0.7142857142857143,0.375,0.8845881858972383
97,VE077,dCA1,1,Control,0.7692307692307693,0.01694915254237288,2.8575952198301313
98,VE077,dCA1,1,Stim,0.75,0.2857142857142857,1.2404385721289448
99,VE077,dCA1,1,Pre,0.5714285714285714,0.14285714285714285,1.2475828936708468
100,VE077,mPFC,1,Response,0.29411764705882354,0.05263157894736842,1.078461173509182
